UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
483647,108,146,146,146,0,42,79,25,0,0,146,42,79,25,0,0,0,0,0,0,0,0,0,0,75,1,0,22,1,1,0,93,0,0,75,1,0,22,1,1,0,93,,,,,,,,,,,0,0,100,0,0,100,,,
483708,207,877,877,93,784,833,0,44,0,0,93,69,0,24,0,0,784,764,0,20,0,0,1,7,68,16,0,5,1,3,0,86,1,7,68,16,0,5,1,3,0,86,,,,,,,,,,,0,0,100,0,0,100,,,
483726,24,29,29,5,24,4,0,25,0,0,5,0,0,5,0,0,24,4,0,20,0,0,0,14,76,0,3,7,0,0,0,97,0,14,76,0,3,7,0,0,0,97,,,,,,,,,,,0,0,100,0,0,100,,,
483735,102,160,160,43,117,56,0,104,0,0,43,19,0,24,0,0,117,37,0,80,0,0,1,1,6,53,0,33,0,7,0,94,1,1,6,53,0,33,0,7,0,94,,,,,,,,,,,0,0,100,0,0,100,,,
483744,83,83,83,83,0,10,0,73,0,0,83,10,0,73,0,0,0,0,0,0,0,0,0,0,77,6,0,2,4,11,0,14,0,0,77,6,0,2,4,11,0,14,,,,,,,,,,,0,0,100,0,0,100,,,
483753,33,81,81,40,41,17,0,64,0,0,40,10,0,30,0,0,41,7,0,34,0,0,0,1,37,35,0,16,4,7,0,15,0,1,37,35,0,16,4,7,0,15,,,,,,,,,,,0,0,100,0,0,100,,,
483780,1133,1652,479,1583,69,64,143,272,0,1173,465,61,142,262,0,1118,14,3,1,10,0,55,0,1,0,0,0,0,0,8,92,36,0,0,0,0,0,0,0,7,93,35,0,1,0,0,0,0,0,8,91,37,2,98,0,1,99,0,2,98,0
483799,25,78,78,78,0,20,0,58,0,0,78,20,0,58,0,0,0,0,0,0,0,0,0,3,9,12,0,77,0,0,0,64,0,3,9,12,0,77,0,0,0,64,,,,,,,,,,,0,0,100,0,0,100,,,
483814,776,1075,1075,948,127,179,326,570,0,0,948,162,290,496,0,0,127,17,36,74,0,0,0,4,84,5,0,3,2,0,0,91,0,4,84,5,0,3,2,0,0,91,,,,,,,,,,,0,0,100,0,0,100,,,
483823,903,1229,1229,1229,0,623,0,606,0,0,1229,623,0,606,0,0,0,0,0,0,0,0,0,0,88,7,0,3,0,1,0,31,0,0,88,7,0,3,0,1,0,31,,,,,,,,,,,0,0,100,0,0,100,,,
483841,100,108,108,108,0,95,0,13,0,0,108,95,0,13,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,0,14,93,0,85,0,1,0,0,0,0,14,93,,,,,,,,,,,0,0,100,0,0,100,,,
483850,4,11,11,11,0,7,0,4,0,0,11,7,0,4,0,0,0,0,0,0,0,0,0,9,45,27,0,9,9,0,0,82,0,9,45,27,0,9,9,0,0,82,,,,,,,,,,,0,0,100,0,0,100,,,
483869,388,658,658,658,0,636,0,22,0,0,658,636,0,22,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,71,0,0,0,100,0,0,0,0,0,71,,,,,,,,,,,0,0,100,0,0,100,,,
483878,207,309,309,309,0,103,0,206,0,0,309,103,0,206,0,0,0,0,0,0,0,0,1,11,28,37,2,5,6,6,5,83,1,11,28,37,2,5,6,6,5,83,,,,,,,,,,,0,0,100,0,0,100,,,
483887,34,79,79,79,0,15,0,64,0,0,79,15,0,64,0,0,0,0,0,0,0,0,0,1,42,4,0,52,0,1,0,80,0,1,42,4,0,52,0,1,0,80,,,,,,,,,,,0,0,100,0,0,100,,,
483896,288,383,383,82,301,48,0,335,0,0,82,21,0,61,0,0,301,27,0,274,0,0,2,1,45,12,0,39,1,0,0,96,2,1,45,12,0,39,1,0,0,96,,,,,,,,,,,0,0,100,0,0,100,,,
483911,19,26,26,26,0,12,0,14,0,0,26,12,0,14,0,0,0,0,0,0,0,0,0,0,8,8,0,73,12,0,0,100,0,0,8,8,0,73,12,0,0,100,,,,,,,,,,,0,0,100,0,0,100,,,
483920,280,335,335,335,0,94,0,241,0,0,335,94,0,241,0,0,0,0,0,0,0,0,0,0,84,6,0,8,2,0,0,45,0,0,84,6,0,8,2,0,0,45,,,,,,,,,,,0,0,100,0,0,100,,,
483948,26,68,68,34,34,34,0,34,0,0,34,24,0,10,0,0,34,10,0,24,0,0,0,0,91,9,0,0,0,0,0,21,0,0,91,9,0,0,0,0,0,21,,,,,,,,,,,0,0,100,0,0,100,,,
483957,50,55,55,55,0,30,0,25,0,0,55,30,0,25,0,0,0,0,0,0,0,0,0,2,2,89,0,7,0,0,0,89,0,2,2,89,0,7,0,0,0,89,,,,,,,,,,,0,0,100,0,0,100,,,
