unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
185262,77,73,79,21,24,20,21,23,19,0,0,0
185572,90,86,92,13,13,13,13,13,13,0,0,0
185590,87,84,89,20,21,18,19,21,18,0,0,0
185679,96,79,98,14,27,13,3,13,3,10,13,10
185828,67,63,73,19,21,16,17,19,15,1,2,1
186131,4,4,5,77,77,76,77,77,76,0,0,0
186186,87,87,,87,87,,87,87,,0,0,
186201,73,72,74,18,19,18,18,19,18,0,0,0
186283,79,80,79,11,12,11,11,12,11,0,0,0
186371,78,78,78,6,6,6,6,6,6,0,0,0
186380,65,64,66,27,28,26,27,28,26,0,0,0
186399,79,77,80,10,11,9,10,11,9,0,0,0
186432,91,89,92,11,12,11,11,12,11,0,0,0
186584,79,78,80,8,8,8,8,8,8,0,0,0
186618,77,72,81,10,11,10,10,11,10,0,0,0
186867,43,40,49,17,18,14,17,18,14,0,0,0
186876,88,86,90,19,20,18,19,20,18,0,0,0
186900,42,42,,100,100,,100,100,,0,0,
187134,62,60,64,21,22,21,21,21,21,0,0,0
187444,93,91,94,12,13,12,12,13,12,0,0,0
187648,55,58,53,43,45,41,42,44,40,1,1,1
187745,100,100,100,70,77,67,55,59,54,14,18,13
187912,58,62,42,76,75,80,76,75,80,0,0,0
187967,54,56,50,37,41,30,37,41,30,0,0,0
187985,95,95,96,29,30,29,28,29,28,1,1,1
188030,76,73,78,21,23,19,21,23,19,0,0,0
188429,78,74,79,10,10,11,10,10,11,0,0,0
188526,59,51,63,10,15,8,10,15,8,0,0,0
188641,48,43,53,12,13,10,12,13,10,0,0,0
188669,49,36,50,33,25,35,33,25,35,0,0,0
188678,81,79,83,39,37,41,39,37,41,0,0,0
188854,25,25,24,24,23,24,24,23,24,0,0,0
188915,100,,100,100,,100,33,,33,67,,67
188942,100,,100,92,,92,91,,91,1,,1
189088,52,46,55,12,14,10,12,14,10,0,0,0
189097,8,,8,76,,76,74,,74,1,,1
189273,90,90,,96,96,,96,96,,0,0,
189705,82,77,86,13,15,11,12,15,11,0,0,0
189857,88,88,,97,97,,97,97,,0,0,
190008,4,1,5,7,0,8,7,0,8,0,0,0
190044,77,79,76,11,13,8,11,13,8,0,0,0
190099,12,11,13,32,33,31,32,33,31,0,0,0
190114,77,71,81,37,17,50,23,17,26,15,0,24
190150,4,5,4,63,64,63,62,62,61,2,2,2
190372,19,18,21,53,52,54,53,52,54,0,0,0
190415,8,8,9,66,67,65,66,67,65,0,0,0
190451,40,33,43,0,0,0,0,0,0,0,0,0
190503,92,89,94,34,41,29,34,41,29,0,0,0
