UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
182290,86,85,86,41,43,40,40,42,39,0,1,0
182634,78,70,82,14,17,13,14,17,13,0,0,0
182670,6,7,6,62,62,62,62,62,62,0,0,0
182795,93,93,92,11,12,10,11,12,10,0,0,0
182917,98,93,100,31,36,29,31,36,29,0,0,0
182980,100,100,100,4,5,3,4,5,3,0,0,0
183026,96,95,97,39,38,40,8,8,9,31,30,31
183044,87,84,89,16,17,15,16,17,15,0,0,0
183062,90,88,91,18,20,16,18,20,16,0,0,0
183071,85,81,88,18,25,13,17,25,13,0,0,1
183080,98,97,98,15,16,14,15,16,14,0,0,0
183211,84,79,87,20,24,18,20,24,17,0,0,1
183239,82,80,84,18,18,19,18,18,19,0,0,0
183822,78,76,79,8,10,8,8,10,7,0,0,0
183910,66,62,69,10,11,9,10,11,9,0,0,0
183974,97,96,97,15,15,15,15,15,15,0,0,0
184348,73,70,74,11,12,11,11,12,11,0,0,0
184603,84,82,86,15,18,13,14,18,12,0,0,1
184612,89,86,91,13,13,13,13,13,13,0,0,0
184694,89,90,88,12,13,11,12,13,11,0,0,0
184773,76,69,80,13,13,13,13,13,12,1,0,1
184782,77,75,79,20,22,18,20,22,18,0,0,0
184968,20,0,21,100,.,100,100,.,100,0,.,0
185129,90,88,91,13,16,12,13,16,12,0,0,0
185174,80,79,81,55,59,45,55,59,45,0,0,0
185262,83,79,85,23,25,21,22,24,21,1,1,1
185572,91,87,93,12,13,12,12,13,12,0,0,0
185590,91,89,93,20,23,19,20,23,19,0,0,0
185679,100,.,100,100,.,100,100,.,100,0,.,0
185828,66,62,73,18,21,14,17,20,13,1,1,1
186131,6,6,6,69,70,68,69,70,68,0,0,0
186186,95,95,.,85,85,.,85,85,.,0,0,.
186201,70,70,71,17,17,17,17,17,17,0,0,0
186283,84,84,84,10,12,9,10,12,9,0,0,0
186371,77,75,78,6,7,6,6,7,6,0,0,0
186380,66,65,68,28,30,26,28,30,26,0,0,0
186399,74,70,77,11,12,10,11,12,10,0,0,0
186432,89,87,90,15,15,14,15,15,14,0,0,0
186584,75,74,76,8,8,7,8,8,7,0,0,0
186618,72,64,77,12,15,10,12,15,10,0,0,0
186867,46,42,55,17,19,16,17,19,16,0,0,0
186876,86,84,87,19,21,18,19,21,18,0,0,0
186900,67,67,.,100,100,.,100,100,.,0,0,.
187134,64,62,67,24,24,24,24,24,24,0,0,0
187444,92,89,93,12,15,11,12,15,11,0,0,0
187648,28,27,28,92,96,90,83,88,81,9,8,9
187745,100,100,100,74,79,72,65,67,64,10,13,9
187912,56,59,45,78,82,64,78,82,64,0,0,0
187967,74,75,73,33,39,22,33,39,22,0,0,0
187985,96,96,96,29,30,28,28,29,27,1,1,1
188030,78,76,79,19,21,18,19,20,17,0,0,0
188429,73,69,75,9,9,9,9,9,9,0,0,0
188526,66,62,68,8,10,7,8,10,7,0,0,0
188641,51,44,56,10,13,8,10,13,8,0,0,0
188669,60,51,62,10,21,8,10,21,8,0,0,0
188678,81,78,83,39,37,39,39,37,39,0,0,0
188696,61,69,60,5,10,5,5,10,5,0,0,0
188854,26,25,27,22,21,23,22,21,23,0,0,0
188915,59,75,54,100,100,100,40,100,14,60,0,86
188942,99,.,99,88,.,88,86,.,86,2,.,2
189088,46,41,48,15,17,14,15,17,14,0,0,0
189097,9,.,9,66,.,66,65,.,65,1,.,1
189273,86,86,.,100,100,.,100,100,.,0,0,.
189705,78,75,80,15,18,13,15,18,13,0,0,0
189848,75,71,77,15,19,14,15,19,14,0,0,0
189857,92,92,.,100,100,.,100,100,.,0,0,.
190008,11,4,13,13,50,7,13,50,7,0,0,0
190044,78,80,76,12,14,8,12,14,8,0,0,0
190099,12,11,13,31,32,30,31,32,30,0,0,0
190114,65,71,62,42,38,45,35,29,40,7,9,5
190150,4,5,3,64,64,63,62,62,62,2,2,2
190372,22,20,26,54,45,63,54,45,63,0,0,0
190415,7,7,8,68,68,67,68,68,67,0,0,0
190451,53,0,56,67,.,67,56,.,56,11,.,11
190503,95,95,95,38,42,34,38,42,34,0,0,0
190512,50,42,56,20,25,17,20,25,17,0,0,0
190549,55,47,61,11,13,9,11,13,9,0,0,0
190567,67,58,74,12,16,10,12,15,9,1,1,1
190576,24,27,21,14,6,24,0,0,0,14,6,24
190594,48,41,52,19,18,20,19,18,19,0,0,0
190600,51,44,56,20,18,21,19,17,21,0,0,0
190637,55,47,61,12,13,12,12,13,11,0,0,1
190646,88,89,87,6,5,7,6,5,6,0,0,0
190655,82,82,82,17,18,16,16,17,15,1,1,1
190664,69,64,74,15,18,13,14,17,13,1,1,1
190691,59,56,62,8,8,8,8,8,8,0,0,0
190707,69,75,67,91,100,88,91,100,88,0,0,0
190716,84,85,84,11,12,11,11,11,11,0,1,0
190725,80,74,82,16,16,16,16,16,16,0,0,0
190752,67,67,.,100,100,.,100,100,.,0,0,.
190761,89,87,91,15,18,13,15,18,13,0,0,0
190956,80,.,80,100,.,100,75,.,75,25,.,25
190983,96,94,97,12,16,11,12,16,11,0,0,0
191126,53,53,53,54,63,53,53,58,51,2,4,1
191205,58,60,55,45,55,28,45,55,28,0,0,0
191241,54,48,58,10,11,10,10,11,10,0,0,0
191515,12,11,12,41,44,39,41,44,39,0,0,0
191533,87,84,88,10,12,9,10,12,9,0,0,0
191597,12,25,10,67,100,50,67,100,50,0,0,0
191621,95,94,97,22,26,18,22,26,18,0,0,0
191630,68,66,71,13,13,12,13,13,12,0,0,0
191649,69,67,71,10,12,10,10,12,10,0,0,0
191676,77,76,78,24,26,23,24,26,23,0,0,0
191931,96,96,97,13,15,12,13,15,12,0,0,0
191940,100,100,100,83,88,83,83,88,83,0,0,0
191968,75,76,75,14,15,13,14,15,13,0,0,0
192004,87,83,90,81,82,81,81,82,81,0,0,0
192040,51,46,54,60,68,55,60,68,55,0,0,0
192110,11,14,9,48,44,53,48,44,53,0,0,0
192192,93,88,95,13,13,13,13,13,13,0,0,0
192271,84,78,85,25,29,25,25,27,24,1,2,1
192323,78,76,79,11,12,10,11,12,10,0,0,0
192448,93,92,93,8,10,8,8,10,8,0,0,0
192509,85,89,84,49,50,49,49,50,49,0,0,0
192624,95,95,.,87,87,.,87,87,.,0,0,.
192703,82,80,84,9,13,6,9,13,6,0,0,0
192712,55,58,53,27,28,27,27,28,27,0,0,0
192749,84,82,86,11,12,10,11,12,10,0,0,0
192785,97,95,97,39,32,40,20,11,22,18,21,18
192800,67,.,67,100,.,100,100,.,100,0,.,0
192819,63,60,64,19,21,19,19,21,19,0,0,0
192864,72,63,75,8,7,8,7,7,7,0,0,0
192925,69,70,68,32,34,31,32,34,31,0,0,0
192961,100,.,100,100,.,100,0,.,0,100,.,100
193016,86,81,88,14,16,13,13,16,12,0,0,0
193052,93,93,.,89,89,.,89,89,.,0,0,.
193061,58,58,.,100,100,.,100,100,.,0,0,.
193070,62,62,.,100,100,.,100,100,.,0,0,.
193247,80,80,.,89,89,.,89,89,.,0,0,.
193292,77,79,76,15,16,15,15,16,15,0,0,0
193308,60,65,55,51,49,53,48,48,48,3,1,5
193353,88,85,90,10,11,10,10,11,9,1,0,1
193399,89,86,90,16,17,16,16,17,16,0,0,0
193584,84,82,85,14,18,13,14,18,13,0,0,0
193609,72,50,79,31,50,27,31,50,27,0,0,0
193654,57,54,58,26,24,27,26,23,26,1,1,1
193900,12,12,13,49,51,48,49,51,48,0,0,0
193973,90,88,90,16,17,16,16,17,16,0,0,0
194091,76,72,80,10,12,8,10,12,7,0,0,0
194116,65,73,64,25,36,23,14,18,13,11,18,10
194161,100,100,100,39,35,43,32,31,33,7,4,10
194189,100,100,.,100,100,.,100,100,.,0,0,.
194310,83,78,85,10,11,9,9,11,9,0,0,0
194392,85,94,78,24,27,20,24,27,20,0,0,0
194499,30,30,30,55,55,55,55,55,55,0,0,0
194569,50,50,50,80,100,50,60,67,50,20,33,0
194578,50,46,52,17,22,16,17,21,16,0,0,0
194657,96,96,.,100,100,.,100,100,.,0,0,.
194693,88,88,.,100,100,.,100,100,.,0,0,.
194718,100,100,.,96,96,.,96,96,.,0,0,.
194736,100,100,.,100,100,.,100,100,.,0,0,.
194763,99,99,.,94,94,.,94,94,.,0,0,.
194824,65,66,61,18,19,17,18,19,17,0,0,0
194958,85,83,86,22,23,21,21,23,20,1,0,1
195003,67,66,68,20,22,17,20,22,17,0,0,0
195030,39,33,44,21,23,19,21,23,19,0,0,0
195128,74,69,76,19,21,17,19,21,17,0,0,0
195164,81,80,82,19,21,16,19,21,16,0,0,0
195173,84,82,86,14,16,13,14,15,13,0,1,0
195191,22,0,29,100,.,100,100,.,100,0,.,0
195216,63,61,66,16,18,15,16,18,15,0,0,0
195234,78,73,81,13,15,13,12,15,13,0,0,0
195243,89,86,91,16,16,16,16,16,16,0,0,0
195289,100,.,100,100,.,100,100,.,100,0,.,0
195304,50,53,49,15,13,15,15,13,15,0,0,0
195438,100,100,.,100,100,.,100,100,.,0,0,.
195474,80,80,81,13,14,12,13,14,12,0,0,0
