opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
008555,HAIR DESIGN INSTITUTE AT LIVINGSTON STREET,HAIR DESIGN INSTITUTE AT LIVINGSTON STREET,NY,1996,1998,1999,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008557,NASH COMMUNITY COLLEGE,Nash Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008558,BEAUFORT COUNTY COMMUNITY COLLEGE,Beaufort County Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008568,MEDIAN SCHOOL OF ALLIED HEALTH CAREERS,Vet Tech Institute,PA,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008575,VERMONT COLLEGE OF COSMETOLOGY,The Salon Professional Academy-Williston,VT,1996,2013,2014,1; 7,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008592,LOUISE OBICI SCHOOL OF NURSING,Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing,VA,1996,2012,2013,1; 5,yes,no,Nonprofit; Public,2-year,Public 2-year,other_exit,A,,
008596,WEST LOS ANGELES COLLEGE,West Los Angeles College,CA,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
008597,FEATHER RIVER COMMUNITY COLLEGE DISTRICT,Feather River Community College District,CA,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
008601,SAWYER COLLEGE AT VENTURA,SAWYER COLLEGE AT VENTURA,CA,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008606,TRI COUNTY TECHNICAL SCHOOL,Eldon Career Center,MO,1996,2013,2014,1,yes,no,Public,2-year,Public 2-year,other_exit,A,,
008609,RABBINICAL COLLEGE OF AMERICA,Rabbinical College of America,NJ,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008611,CUNY HOSTOS COMMUNITY COLLEGE,CUNY Hostos Community College,NY,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008612,ROBESON COMMUNITY COLLEGE,Robeson Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008613,ROANOKE-CHOWAN COMMUNITY COLLEGE,Roanoke-Chowan Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008614,RABBINICAL COLLEGE BOBOVER YESHIVA BNEI ZION,Rabbinical College Bobover Yeshiva Bnei Zion,NY,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008617,RABBINICAL SEMINARY OF M'KOR CHAIM,Rabbinical Seminary Mkor Chaim,NJ,1996,2024,,1; 5,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008635,PPI HEALTH CAREERS SCHOOL,IBMC College,CO,1996,2017,2018,1; 7,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008645,EMPIRE BEAUTY SCHOOL,Empire Beauty School-Laconia,NH,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008653,JEFFERSON COUNTY DUBOIS AREA VOC TECHN PRACT NURS,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,PA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008655,MIDDLE TENNESSEE SCHOOL OF COSMETOLOGY,Genesis Career College-Cookeville,TN,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008658,O'BRIENS TRAINING CENTER,O'Briens Aveda Institute,VT,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008659,LORD FAIRFAX COMMUNITY COLLEGE,Laurel Ridge Community College,VA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008660,GERMANNA COMMUNITY COLLEGE,Germanna Community College,VA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008661,SOUTHSIDE VIRGINIA COMMUNITY COLLEGE,Southside Virginia Community College,VA,1996,2024,,1; 5,yes,no,Public,2-year,Public 2-year,,A,,
008677,NORTHWEST STATE COMMUNITY COLLEGE,Northwest State Community College,OH,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
