UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
209038,84520,,,,,,84520,611,270,268,2,0,33,4,29,70,100,39,12,2,85,23,1,43,18,0
209056,97266,127844,89889,83022,61951,109041,54548,693,287,287,0,0,81,20,61,97,40,23,66,6,93,29,0,55,9,0
209065,67120,78840,66080,58837,,,,434,154,154,0,0,30,7,23,39,24,29,60,5,93,42,1,35,13,2
209074,81378,,,,,,81378,527,195,195,0,0,94,3,91,45,35,27,27,0,104,34,1,56,11,2
209083,,,,,,,,11,7,7,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0
209153,,,,,,,,6,4,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
209205,,,,,,,,7,4,4,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0
209241,75280,89032,73791,59685,,,,25,13,13,0,0,4,0,4,4,0,0,1,1,2,0,0,2,0,0
209250,91224,,,,91224,,,475,204,204,0,0,42,2,40,46,17,26,16,2,122,33,1,81,6,1
209287,49210,51639,48445,45630,,,,96,33,17,7,9,15,2,13,16,1,3,13,1,14,3,4,3,4,0
209296,61630,68704,59346,61100,,,,128,57,52,5,0,3,2,1,28,2,1,5,17,15,1,0,14,0,0
209409,51628,58794,57706,48229,41581,,,135,52,52,0,0,9,2,7,27,7,5,18,2,15,3,0,9,2,1
209490,114027,187273,124659,99006,93662,71363,,9905,2691,2319,372,0,75,8,67,955,853,2166,134,1599,1432,306,4,982,101,39
209506,75073,93606,74181,66963,54898,,,505,216,212,1,3,19,7,12,50,88,18,26,4,84,29,1,35,19,0
209542,103559,149769,114381,95541,65258,,,5785,2202,1469,628,105,763,56,707,267,515,434,415,125,1064,312,63,481,157,51
209551,108559,147711,106168,92943,68127,78411,,4919,1666,1168,340,158,464,103,361,211,519,342,302,63,1352,482,17,651,181,21
209603,72639,78600,75393,65840,66000,,,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209612,79593,91183,81918,69388,59111,,,754,313,306,6,1,47,18,29,64,12,23,79,20,196,43,0,140,13,0
