UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
149222,71813,96495,71036,66314,38762,49950,.,4515,1054,981,65,8,410,22,388,164,354,205,402,540,1386,379,7,835,136,29
149231,79599,98247,86461,78704,51917,.,.,2071,719,719,0,0,249,30,219,78,102,119,129,19,656,245,19,307,58,27
149240,.,.,.,.,.,.,.,45,0,0,0,0,2,0,2,15,18,1,2,0,7,0,0,7,0,0
149310,29080,29080,.,.,.,.,.,20,7,7,0,0,6,0,6,4,0,0,0,0,3,0,0,3,0,0
149329,21944,.,.,.,21944,.,.,29,8,8,0,0,0,0,0,7,3,0,0,0,11,10,0,1,0,0
149365,72503,.,.,.,.,.,72503,312,103,103,0,0,17,3,14,28,22,18,19,0,105,37,0,63,2,3
149505,64943,73352,65193,58486,.,.,.,222,90,90,0,0,6,2,4,36,18,13,30,1,28,11,0,13,4,0
149514,66603,69863,65517,63168,64000,.,.,218,92,88,4,0,32,4,28,28,6,10,20,0,30,22,0,8,0,0
149532,73590,.,.,.,.,.,73590,574,223,223,0,0,40,7,33,32,41,38,69,2,129,62,0,66,0,1
149550,.,.,.,.,.,.,.,16,12,12,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
149587,.,.,.,.,.,.,.,1090,1,0,1,0,5,2,3,375,294,164,20,0,231,1,0,228,0,2
149639,59163,60330,57574,59687,.,.,.,45,24,24,0,0,9,1,8,1,5,2,1,0,3,0,0,3,0,0
149727,91991,110198,89536,82017,77729,.,.,609,203,203,0,0,51,14,37,74,29,19,99,0,134,45,12,77,0,0
149763,72121,.,90388,74638,67320,.,.,89,38,38,0,0,11,0,11,35,4,0,0,0,1,0,0,0,1,0
149772,82948,101427,81728,65309,54448,45000,.,1250,470,470,0,0,169,18,151,40,61,83,89,13,325,162,2,118,42,1
149781,87055,103494,88354,68692,57919,.,.,764,249,248,1,0,68,21,47,54,56,38,87,6,206,58,11,104,33,0
149842,98824,120119,99714,76331,61969,.,42000,876,330,330,0,0,68,20,48,32,54,73,130,15,174,83,26,65,0,0
150066,57645,63847,55413,53856,53333,.,.,298,125,125,0,0,15,3,12,27,17,6,50,4,54,12,1,41,0,0
150136,71453,95844,79060,75629,57425,54882,55673,3019,1054,1054,0,0,177,44,133,330,161,145,132,9,1011,440,0,407,131,33
150145,53034,63984,55484,46509,38420,.,.,240,93,93,0,0,29,2,27,27,5,6,34,1,45,11,0,28,6,0
150163,82116,101561,86898,77102,60355,54483,37750,1155,441,435,6,0,70,18,52,240,29,51,121,11,192,76,0,100,14,2
150172,50947,59210,59410,58425,42092,.,.,110,45,45,0,0,22,2,20,10,4,3,21,0,5,2,0,3,0,0
150215,57303,78666,61997,46270,.,.,.,72,38,16,13,9,4,3,1,6,5,4,3,3,9,0,0,9,0,0
150251,51843,.,.,.,51843,.,.,14,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
150288,60871,65900,61339,57750,48125,.,.,108,22,22,0,0,4,4,0,13,14,7,4,0,44,20,6,17,1,0
150303,.,.,.,.,.,.,.,14,11,11,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
150400,89093,104507,80365,67966,65447,.,.,566,195,195,0,0,16,16,0,46,54,29,81,7,138,71,0,52,14,1
150428,.,.,.,.,.,.,.,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150455,68934,85671,74962,60956,48464,.,.,329,111,110,1,0,13,8,5,36,23,16,64,5,61,15,1,42,1,2
150534,80879,89088,80268,78545,37613,34721,.,426,178,178,0,0,36,7,29,38,16,10,58,6,84,18,0,56,10,0
150604,60947,76869,61156,55567,49655,32300,.,248,83,83,0,0,27,3,24,19,8,11,38,4,58,20,0,28,10,0
150668,55702,64671,51865,46697,.,.,31631,251,82,82,0,0,9,7,2,48,8,13,26,1,64,24,6,27,7,0
150677,68985,78371,71399,59485,51638,.,.,237,91,89,0,2,68,4,64,9,12,4,38,0,15,3,0,12,0,0
150756,75870,84340,71686,70105,54108,.,.,287,117,117,0,0,42,5,37,17,15,6,39,8,43,14,0,19,9,1
150765,.,.,.,.,.,.,.,11,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
150774,57388,79424,58279,58096,52387,48000,.,96,41,41,0,0,5,1,4,18,6,2,14,0,10,4,0,6,0,0
150853,.,.,.,.,.,.,.,23,21,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
150941,63775,75344,65568,59785,45641,.,.,239,119,119,0,0,16,3,13,31,5,6,24,0,38,11,7,18,1,1
150987,55242,66089,58213,54573,51509,41382,.,4302,1811,1811,0,0,143,21,122,358,368,169,564,0,889,199,0,690,0,0
151102,73705,87131,76530,72812,55640,55735,.,965,380,353,0,27,19,6,13,117,93,46,74,7,229,61,0,146,16,6
151111,82298,113882,84403,74475,.,54594,.,8999,4153,3617,536,0,163,44,119,167,699,1059,565,566,1627,390,0,1088,137,12
151263,71095,87835,74393,66716,56113,.,.,793,373,373,0,0,43,5,38,98,19,24,72,7,157,51,1,95,9,1
151290,79002,87793,84914,75176,62279,50748,.,431,175,175,0,0,84,2,82,37,21,8,51,0,55,16,0,31,8,0
151306,69487,89686,72585,66455,53077,.,.,997,406,406,0,0,90,10,80,99,50,55,68,0,229,71,0,125,27,6
151324,68850,89186,71234,61913,49016,43451,.,1387,447,447,0,0,78,18,60,118,57,80,186,10,411,166,1,198,34,12
151333,60691,77206,66762,60099,.,48647,.,311,162,162,0,0,5,1,4,25,7,10,26,0,76,31,0,40,5,0
151342,61728,70325,63672,58989,.,45732,.,516,276,276,0,0,15,7,8,37,19,19,41,0,109,36,0,59,14,0
151351,101858,132520,101360,94286,.,60949,.,8814,2754,2283,471,0,305,129,176,259,786,1131,1132,71,2376,745,33,1118,290,190
151360,65467,82172,68075,59934,.,46410,.,395,201,199,2,0,9,4,5,30,17,16,33,1,88,31,0,51,6,0
151379,66674,75568,67784,64155,.,52054,.,435,233,233,0,0,15,6,9,25,15,17,35,0,95,27,1,60,7,0
151388,66295,79731,72356,66907,.,48923,.,321,156,156,0,0,15,3,12,23,12,13,42,0,60,24,0,34,2,0
151467,45538,.,.,.,45538,.,.,34,14,14,0,0,2,1,1,3,2,0,0,0,13,0,8,5,0,0
151564,.,.,.,.,.,.,.,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151607,.,.,.,.,.,.,.,8,5,5,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
151661,44245,.,.,.,44245,.,.,90,36,36,0,0,3,0,3,36,0,1,0,0,14,1,0,13,0,0
151777,67417,74478,65569,65322,58555,.,.,304,96,96,0,0,24,3,21,40,15,15,50,1,63,27,0,28,7,1
151786,68071,81619,72476,66248,60321,.,.,636,240,235,0,5,51,7,44,173,23,25,73,7,44,10,0,33,1,0
151801,68820,79634,67804,61628,44826,.,.,588,259,259,0,0,53,6,47,106,21,23,17,5,104,30,1,61,12,0
151810,47732,52500,.,48075,.,.,41250,43,11,11,0,0,8,0,8,16,1,0,0,0,7,3,0,4,0,0
151865,58419,.,59730,55358,.,.,.,40,10,10,0,0,2,2,0,7,4,1,6,0,10,0,1,7,2,0
