UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
138354,10580,16584,11870,1306,2205,7514,845,4714,7393,1075,1227,4977,114,4477,231,978,2537,731,0,4,12,11,0,63,5,2,3,62,0,3,12,10,0,64,6,2,2,59,0,4,13,12,0,62,2,3,4,69,63,36,1,53,46,1,88,11,1
138372,700,1855,1855,267,0,509,1079,0,428,192,0,236,0,1427,75,0,273,1079,1,5,29,32,0,30,1,0,2,45,1,5,29,32,0,30,1,0,2,45,.,.,.,.,.,.,.,.,.,.,0,44,56,0,44,56,.,.,.
138479,890,1497,1497,580,0,500,417,0,1497,580,0,500,417,0,0,0,0,0,0,4,30,35,0,25,3,0,2,53,0,4,30,35,0,25,3,0,2,53,.,.,.,.,.,.,.,.,.,.,2,0,98,2,0,98,.,.,.
138488,522,1864,1864,498,0,119,1247,0,318,303,0,15,0,1546,195,0,104,1247,0,5,20,43,1,29,2,0,0,56,0,5,20,43,1,29,2,0,0,56,.,.,.,.,.,.,.,.,.,.,0,4,96,0,4,96,.,.,.
138497,353,499,499,273,0,180,46,0,499,273,0,180,46,0,0,0,0,0,0,1,5,11,0,69,14,0,0,36,0,1,5,11,0,69,14,0,0,36,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
138558,3112,4735,4735,1049,386,2703,597,0,2622,893,186,1522,21,2113,156,200,1181,576,0,1,11,8,0,77,1,0,1,61,0,1,11,8,0,77,1,0,1,61,.,.,.,.,.,.,.,.,.,.,19,73,8,19,73,8,.,.,.
138600,1086,1130,1031,274,13,709,35,99,993,274,13,703,3,38,0,0,6,32,0,6,36,14,0,31,6,4,3,99,0,6,33,14,0,32,7,4,3,99,0,0,59,7,0,28,1,3,2,95,0,100,0,0,100,0,0,100,0
138655,1028,1028,1028,477,0,551,0,0,1018,473,0,545,0,10,4,0,6,0,0,7,45,23,0,25,0,0,0,32,0,7,45,23,0,25,0,0,0,32,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
138664,110,110,110,31,0,79,0,0,110,31,0,79,0,0,0,0,0,0,0,7,77,10,0,5,0,0,0,64,0,7,77,10,0,5,0,0,0,64,.,.,.,.,.,.,.,.,.,.,0,100,0,0,100,0,.,.,.
138682,2244,4191,4191,742,374,2414,661,0,1441,275,145,914,107,2750,467,229,1500,554,0,1,77,2,0,18,2,0,0,69,0,1,77,2,0,18,2,0,0,69,.,.,.,.,.,.,.,.,.,.,77,10,13,77,10,13,.,.,.
138716,5355,7702,7176,1565,552,4698,361,526,4526,1303,215,2934,74,2650,262,337,1764,287,0,1,75,6,0,13,2,2,1,73,0,0,76,6,0,13,2,2,1,72,0,2,74,2,0,17,1,2,2,80,29,58,13,26,60,14,73,23,4
138761,259,345,345,111,58,158,18,0,225,110,24,90,1,120,1,34,68,17,0,0,48,8,0,36,2,4,1,56,0,0,48,8,0,36,2,4,1,56,.,.,.,.,.,.,.,.,.,.,23,66,12,23,66,12,.,.,.
138813,785,1268,1268,124,216,928,0,0,691,57,97,537,0,577,67,119,391,0,1,1,67,11,0,11,4,4,1,52,1,1,67,11,0,11,4,4,1,52,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
138822,512,969,969,323,0,646,0,0,969,323,0,646,0,0,0,0,0,0,0,1,66,4,11,18,0,0,0,97,0,1,66,4,11,18,0,0,0,97,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
138840,2416,4973,4973,704,965,3003,301,0,1198,213,279,693,13,3775,491,686,2310,288,0,1,85,6,0,4,2,0,1,69,0,1,85,6,0,4,2,0,1,69,.,.,.,.,.,.,.,.,.,.,70,15,14,70,15,14,.,.,.
138868,1300,2346,2299,175,156,816,1152,47,798,146,88,485,79,1501,29,68,331,1073,0,2,29,7,0,47,6,7,2,58,0,2,28,7,0,47,6,7,2,59,0,0,47,6,0,38,2,6,0,43,31,12,56,30,13,57,100,0,0
138901,1216,2638,2638,519,356,1424,339,0,839,266,139,420,14,1799,253,217,1004,325,0,1,85,5,0,3,3,1,2,65,0,1,85,5,0,3,3,1,2,65,.,.,.,.,.,.,.,.,.,.,48,49,3,48,49,3,.,.,.
138929,257,303,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,2,4,42,11,0,36,0,4,1,58,.,.,.,.,.,.,.,.,.,.,2,4,42,11,0,36,0,4,1,58,100,0,0,.,.,.,100,0,0
138938,251,632,632,42,0,590,0,0,374,28,0,346,0,258,14,0,244,0,0,2,56,6,0,22,6,7,0,92,0,2,56,6,0,22,6,7,0,92,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
138947,3574,4123,3387,786,147,2427,27,736,3164,753,143,2268,0,223,33,4,159,27,0,0,85,0,0,0,0,12,2,75,0,0,86,0,0,0,0,12,1,75,0,0,81,1,0,0,0,11,6,71,8,91,0,7,93,1,16,83,0
138956,2761,5549,5549,817,925,3275,532,0,1867,410,362,1032,63,3682,407,563,2243,469,0,1,49,6,0,38,3,2,0,60,0,1,49,6,0,38,3,2,0,60,.,.,.,.,.,.,.,.,.,.,44,25,31,44,25,31,.,.,.
139144,2095,2308,2092,629,41,1398,24,216,2009,628,41,1340,0,83,1,0,58,24,0,2,9,7,0,74,5,1,1,63,0,3,8,8,0,75,5,1,1,62,0,2,23,3,0,66,4,2,0,69,5,59,36,0,61,39,51,41,7
139153,365,629,321,16,4,206,95,308,193,11,2,88,92,128,5,2,118,3,0,21,45,5,0,20,0,9,0,55,0,7,44,8,0,33,0,7,0,55,0,35,45,3,0,6,0,11,1,55,100,0,0,100,0,0,100,0,0
139199,2583,3627,2202,223,557,1122,300,1425,1239,180,330,714,15,963,43,227,408,285,0,3,31,8,0,47,2,6,3,85,0,2,27,10,0,45,2,9,4,87,0,3,36,5,0,50,2,3,1,82,50,27,23,47,41,12,54,6,40
139205,585,944,944,233,84,292,335,0,552,229,75,246,2,392,4,9,46,333,1,1,28,9,1,53,1,4,2,42,1,1,28,9,1,53,1,4,2,42,.,.,.,.,.,.,.,.,.,.,10,54,35,10,54,35,.,.,.
139250,2612,4303,4303,798,333,2473,699,0,2017,581,169,1235,32,2286,217,164,1238,667,0,2,20,8,0,62,4,2,1,69,0,2,20,8,0,62,4,2,1,69,.,.,.,.,.,.,.,.,.,.,31,60,9,31,60,9,.,.,.
139278,3986,8932,8932,1203,937,4942,1850,0,2282,490,303,1183,306,6650,713,634,3759,1544,0,1,32,8,0,54,3,1,0,69,0,1,32,8,0,54,3,1,0,69,.,.,.,.,.,.,.,.,.,.,49,26,25,49,26,25,.,.,.
139311,5584,8659,7784,914,1059,4605,1206,875,4129,783,663,2523,160,3655,131,396,2082,1046,0,7,64,8,0,15,3,2,2,71,0,7,63,9,0,15,3,2,1,71,0,3,72,3,0,16,3,1,2,71,51,47,2,48,50,2,84,16,0
139348,225,255,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,8,25,2,0,47,0,5,13,53,.,.,.,.,.,.,.,.,.,.,0,8,25,2,0,47,0,5,13,53,100,0,0,.,.,.,100,0,0
139357,2144,4448,4448,567,682,2681,518,0,1273,250,209,774,40,3175,317,473,1907,478,0,1,46,13,0,34,3,2,0,72,0,1,46,13,0,34,3,2,0,72,.,.,.,.,.,.,.,.,.,.,40,32,28,40,32,28,.,.,.
139366,6903,10094,8170,1580,876,5157,557,1924,5106,1350,509,3172,75,3064,230,367,1985,482,0,3,39,7,0,47,3,1,1,62,0,3,40,7,0,46,3,1,1,61,0,3,36,5,0,51,2,0,3,67,31,61,8,23,70,7,67,23,10
139384,4147,8768,8768,1242,951,4194,2381,0,2337,538,323,1358,118,6431,704,628,2836,2263,0,1,9,17,0,70,3,0,0,65,0,1,9,17,0,70,3,0,0,65,.,.,.,.,.,.,.,.,.,.,58,16,26,58,16,26,.,.,.
139393,860,958,909,210,23,638,38,49,813,198,18,597,0,96,12,5,41,38,1,1,3,1,0,86,5,1,3,54,1,1,3,1,0,86,5,1,3,53,2,2,2,0,0,80,2,0,12,61,3,41,56,4,43,53,0,0,100
139463,3711,5513,5513,964,274,3718,557,0,3164,771,171,2118,104,2349,193,103,1600,453,1,2,4,31,0,57,1,2,1,63,1,2,4,31,0,57,1,2,1,63,.,.,.,.,.,.,.,.,.,.,15,64,20,15,64,20,.,.,.
139506,104,129,129,29,0,100,0,0,129,29,0,100,0,0,0,0,0,0,0,0,98,0,0,0,0,0,2,55,0,0,98,0,0,0,0,0,2,55,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
