UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
236638,2809,5949,5949,2421,3528,920,411,1867,2751,0,2421,634,175,968,644,0,3528,286,236,899,2107,0,1,3,2,29,0,50,6,8,1,55,1,3,2,29,0,50,6,8,1,55,,,,,,,,,,,21,35,43,21,35,43,,,
236656,3359,6079,6079,2900,3179,1244,545,2114,2176,0,2900,746,214,959,981,0,3179,498,331,1155,1195,0,1,7,4,15,1,53,10,7,2,60,1,7,4,15,1,53,10,7,2,60,,,,,,,,,,,37,43,20,37,43,20,,,
236692,4706,9031,9031,4515,4516,1725,662,3346,3298,0,4515,1298,405,2097,715,0,4516,427,257,1249,2583,0,1,2,3,10,0,55,6,20,1,53,1,2,3,10,0,55,6,20,1,53,,,,,,,,,,,23,29,48,23,29,48,,,
236708,3139,5221,5221,3165,2056,1386,592,2105,1138,0,3165,1000,313,1212,640,0,2056,386,279,893,498,0,1,3,3,11,1,68,8,5,1,60,1,3,3,11,1,68,8,5,1,60,,,,,,,,,,,36,48,16,36,48,16,,,
236744,53,75,75,75,0,25,0,50,0,0,75,25,0,50,0,0,0,0,0,0,0,0,1,0,0,9,0,89,0,0,0,97,1,0,0,9,0,89,0,0,0,97,,,,,,,,,,,0,0,100,0,0,100,,,
236753,4595,8204,8204,4471,3733,1977,840,3569,1818,0,4471,1247,396,1768,1060,0,3733,730,444,1801,758,0,1,9,9,17,1,41,12,6,3,65,1,9,9,17,1,41,12,6,3,65,,,,,,,,,,,24,47,29,24,47,29,,,
236887,2331,3920,3920,1995,1925,570,400,2097,853,0,1995,419,172,1086,318,0,1925,151,228,1011,535,0,2,1,7,26,1,53,5,6,0,45,2,1,7,26,1,53,5,6,0,45,,,,,,,,,,,14,40,46,14,40,46,,,
236896,1387,1684,1445,1338,346,303,85,992,65,239,1223,303,81,839,0,115,222,0,4,153,65,124,0,5,3,20,1,54,8,2,7,53,0,5,3,21,1,52,9,1,8,49,2,2,1,13,0,63,5,8,6,76,4,26,70,2,21,77,17,52,31
236939,25876,30919,25137,24398,6521,4094,2834,17690,519,5782,20876,3982,2267,14524,103,3522,4261,112,567,3166,416,2260,1,7,3,15,0,58,7,3,6,54,1,7,3,17,1,59,7,2,4,54,1,8,3,8,0,56,5,3,16,56,21,45,34,18,47,36,36,38,26
236948,51115,57633,39850,44939,12694,7444,1839,23981,6586,17783,30979,7367,1575,21629,408,13960,8871,77,264,2352,6178,3823,0,21,3,8,0,33,6,12,15,53,0,23,3,8,0,30,7,16,12,51,1,16,4,8,0,42,5,3,23,56,3,33,64,2,40,58,4,17,79
236975,2135,3518,3518,2028,1490,712,254,1362,1190,0,2028,521,117,760,630,0,1490,191,137,602,560,0,2,1,1,40,0,40,4,11,0,65,2,1,1,40,0,40,4,11,0,65,,,,,,,,,,,31,52,18,31,52,18,,,
237011,13149,16309,15150,13814,2495,3302,1321,10225,302,1159,12990,3215,1178,8454,143,824,2160,87,143,1771,159,335,0,6,2,10,0,68,9,3,1,57,0,6,2,11,0,68,9,3,1,57,1,5,2,9,0,69,7,5,2,62,3,47,49,3,49,48,10,25,65
237039,2537,4825,4825,2058,2767,780,457,1977,1611,0,2058,399,169,928,562,0,2767,381,288,1049,1049,0,1,6,2,13,0,56,6,12,4,57,1,6,2,13,0,56,6,12,4,57,,,,,,,,,,,33,47,20,33,47,20,,,
237057,1480,1560,1560,1499,61,338,30,1159,33,0,1499,336,30,1132,1,0,61,2,0,27,32,0,0,6,3,9,0,60,7,3,12,56,0,6,3,9,0,60,7,3,12,56,,,,,,,,,,,0,0,100,0,0,100,,,
237066,2459,2659,2194,2272,387,464,94,1548,88,465,2080,462,92,1496,30,192,114,2,2,52,58,273,0,4,3,12,2,64,9,1,5,60,0,4,3,13,2,62,9,1,6,59,1,4,4,11,0,70,6,1,3,68,2,14,84,0,9,91,12,36,52
237109,2782,4711,4711,2691,2020,927,337,2413,1034,0,2691,668,154,1278,591,0,2020,259,183,1135,443,0,1,1,1,59,0,29,2,6,0,70,1,1,1,59,0,29,2,6,0,70,,,,,,,,,,,23,55,22,23,55,22,,,
237127,50,61,61,61,0,17,0,44,0,0,61,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,100,,,,,,,,,,,0,0,100,0,0,100,,,
237136,200,273,252,163,110,45,13,138,56,21,160,34,8,118,0,3,92,11,5,20,56,18,0,1,1,0,0,80,0,14,3,46,0,1,2,0,0,80,0,15,2,47,0,0,0,0,0,86,0,0,14,29,18,21,61,14,22,64,71,5,24
237145,27,27,27,27,0,15,0,12,0,0,27,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,93,0,0,0,0,0,100,0,0,0,93,,,,,,,,,,,0,0,100,0,0,100,,,
